"metric","deployer_count","total_profit_sol","avg_profit_per_deployer","median_profit_per_deployer","total_tokens_created","total_profitable_tokens","profitable_token_rate"
"PER_DEPLOYER",,612.316399925,,,8,15,"187.5"
"PER_DEPLOYER",,612.152792374,,,331,320,"96.7"
"PER_DEPLOYER",,611.1417045750001,,,328,327,"99.7"
"PER_DEPLOYER",,610.467758667,,,310,317,"102.3"
"PER_DEPLOYER",,609.9772038570003,,,479,682,"142.4"
"PER_DEPLOYER",,608.856854719,,,317,327,"103.2"
"PER_DEPLOYER",,608.8315128400001,,,88,78,"88.6"
"PER_DEPLOYER",,607.089426374,,,325,325,"100.0"
"PER_DEPLOYER",,606.4513889119999,,,6,165,"2750.0"
"PER_DEPLOYER",,603.7846573300001,,,517,533,"103.1"
"PER_DEPLOYER",,603.264270434,,,47,63,"134.0"
"PER_DEPLOYER",,600.210264151,,,342,334,"97.7"
"PER_DEPLOYER",,599.9840268330001,,,478,337,"70.5"
"PER_DEPLOYER",,598.799066996,,,662,661,"99.8"
"PER_DEPLOYER",,598.556033219,,,232,234,"100.9"
"PER_DEPLOYER",,596.28441477,,,298,297,"99.7"
"PER_DEPLOYER",,594.966610168,,,10,10,"100.0"
"PER_DEPLOYER",,594.6417819249999,,,244,215,"88.1"
"PER_DEPLOYER",,594.5720696730002,,,357,400,"112.0"
"PER_DEPLOYER",,594.430305409,,,214,212,"99.1"
"PER_DEPLOYER",,593.2558389010001,,,117,14,"12.0"
"PER_DEPLOYER",,592.230229335,,,11,11,"100.0"
"PER_DEPLOYER",,592.133191901,,,60,66,"110.0"
"PER_DEPLOYER",,591.83529237,,,469,986,"210.2"
"PER_DEPLOYER",,591.772966677,,,6,49,"816.7"
"PER_DEPLOYER",,590.0451375959999,,,71,53,"74.6"
"PER_DEPLOYER",,589.5203720710001,,,577,841,"145.8"
"PER_DEPLOYER",,588.317414709,,,224,233,"104.0"
"PER_DEPLOYER",,586.8190447990002,,,474,493,"104.0"
"PER_DEPLOYER",,586.496377073,,,127,132,"103.9"
"PER_DEPLOYER",,585.895287561,,,347,347,"100.0"
"PER_DEPLOYER",,585.3283765909999,,,171,196,"114.6"
"PER_DEPLOYER",,585.257296933,,,470,507,"107.9"
"PER_DEPLOYER",,584.9024494309999,,,6,113,"1883.3"
"PER_DEPLOYER",,584.7221904930001,,,213,212,"99.5"
"PER_DEPLOYER",,584.7157142529999,,,254,468,"184.3"
"PER_DEPLOYER",,584.6331887060002,,,416,551,"132.5"
"PER_DEPLOYER",,583.947961503,,,546,548,"100.4"
"PER_DEPLOYER",,582.888697291,,,329,133,"40.4"
"PER_DEPLOYER",,582.13530599,,,375,351,"93.6"
"PER_DEPLOYER",,580.894849864,,,692,467,"67.5"
"PER_DEPLOYER",,580.772877428,,,204,217,"106.4"
"PER_DEPLOYER",,580.4167214970001,,,285,512,"179.6"
"PER_DEPLOYER",,579.912754107,,,225,225,"100.0"
"PER_DEPLOYER",,579.8405873779999,,,177,162,"91.5"
"PER_DEPLOYER",,579.098527223,,,362,680,"187.8"
"PER_DEPLOYER",,578.591152391,,,49,48,"98.0"
"PER_DEPLOYER",,575.800978808,,,326,334,"102.5"
"PER_DEPLOYER",,573.9009587999999,,,280,280,"100.0"
"PER_DEPLOYER",,572.877683168,,,411,412,"100.2"
"PER_DEPLOYER",,571.7987182789999,,,10,63,"630.0"
"PER_DEPLOYER",,571.0124483850001,,,9,8,"88.9"
"PER_DEPLOYER",,570.9538940470001,,,305,305,"100.0"
"PER_DEPLOYER",,569.912590657,,,362,361,"99.7"
"PER_DEPLOYER",,569.3126550610001,,,254,254,"100.0"
"PER_DEPLOYER",,568.9776722259998,,,280,280,"100.0"
"PER_DEPLOYER",,568.440814936,,,423,428,"101.2"
"PER_DEPLOYER",,567.8145450909998,,,285,282,"98.9"
"PER_DEPLOYER",,567.4630544509997,,,285,285,"100.0"
"PER_DEPLOYER",,565.7929337569999,,,316,315,"99.7"
"PER_DEPLOYER",,565.4753079889998,,,262,266,"101.5"
"PER_DEPLOYER",,564.0338371820001,,,23,25,"108.7"
"PER_DEPLOYER",,563.8462714580002,,,216,217,"100.5"
"PER_DEPLOYER",,562.959278733,,,305,324,"106.2"
"PER_DEPLOYER",,562.527177874,,,354,351,"99.2"
"PER_DEPLOYER",,561.6049416389999,,,215,217,"100.9"
"PER_DEPLOYER",,560.86225574,,,5,78,"1560.0"
"PER_DEPLOYER",,560.79662508,,,221,231,"104.5"
"PER_DEPLOYER",,559.657889102,,,28,27,"96.4"
"PER_DEPLOYER",,558.5580273039999,,,111,108,"97.3"
"PER_DEPLOYER",,558.3817519689999,,,307,307,"100.0"
"PER_DEPLOYER",,557.987696154,,,349,378,"108.3"
"PER_DEPLOYER",,557.7754049429999,,,302,273,"90.4"
"PER_DEPLOYER",,555.4816164380001,,,314,313,"99.7"
"PER_DEPLOYER",,555.115330628,,,218,218,"100.0"
"PER_DEPLOYER",,555.028687255,,,395,674,"170.6"
"PER_DEPLOYER",,554.5785728120001,,,581,587,"101.0"
"PER_DEPLOYER",,553.972043616,,,32,32,"100.0"
"PER_DEPLOYER",,553.579761933,,,182,220,"120.9"
"PER_DEPLOYER",,553.355493655,,,437,482,"110.3"
"PER_DEPLOYER",,552.4237871770001,,,212,222,"104.7"
"PER_DEPLOYER",,552.266952272,,,156,165,"105.8"
"PER_DEPLOYER",,550.8516884380001,,,17,17,"100.0"
"PER_DEPLOYER",,550.6307045319999,,,28,27,"96.4"
"PER_DEPLOYER",,549.128899214,,,305,305,"100.0"
"PER_DEPLOYER",,548.117566499,,,810,810,"100.0"
"PER_DEPLOYER",,547.37579054,,,473,498,"105.3"
"PER_DEPLOYER",,547.289833772,,,505,505,"100.0"
"PER_DEPLOYER",,546.20208532,,,27,26,"96.3"
"PER_DEPLOYER",,545.7515856610001,,,266,266,"100.0"
"PER_DEPLOYER",,545.309461623,,,362,362,"100.0"
"PER_DEPLOYER",,545.233397196,,,16,16,"100.0"
"PER_DEPLOYER",,544.8976954910001,,,16,16,"100.0"
"PER_DEPLOYER",,544.7234343659998,,,311,309,"99.4"
"PER_DEPLOYER",,544.5917214869999,,,338,338,"100.0"
"PER_DEPLOYER",,544.1510840079999,,,224,224,"100.0"
"PER_DEPLOYER",,543.68246821,,,487,522,"107.2"
"PER_DEPLOYER",,543.356497361,,,285,282,"98.9"
"PER_DEPLOYER",,543.1901072490001,,,245,240,"98.0"
"PER_DEPLOYER",,541.795890092,,,43,57,"132.6"
"PER_DEPLOYER",,541.2129545979999,,,17,17,"100.0"
"PER_DEPLOYER",,540.954257123,,,291,292,"100.3"
"PER_DEPLOYER",,540.847671909,,,9,9,"100.0"
"PER_DEPLOYER",,539.7931034770002,,,407,391,"96.1"
"PER_DEPLOYER",,539.057200723,,,637,954,"149.8"
"PER_DEPLOYER",,538.789373094,,,331,351,"106.0"
"PER_DEPLOYER",,538.5525613679999,,,619,732,"118.3"
"PER_DEPLOYER",,538.3815651479999,,,6,41,"683.3"
"PER_DEPLOYER",,537.994421458,,,465,463,"99.6"
"PER_DEPLOYER",,535.9357156980001,,,267,302,"113.1"
"PER_DEPLOYER",,535.718626504,,,9,10,"111.1"
"PER_DEPLOYER",,535.457029139,,,296,270,"91.2"
"PER_DEPLOYER",,535.2075484889999,,,458,366,"79.9"
"PER_DEPLOYER",,535.0849734660001,,,8,8,"100.0"
"PER_DEPLOYER",,534.430619466,,,5,26,"520.0"
"PER_DEPLOYER",,534.169944227,,,296,296,"100.0"
"PER_DEPLOYER",,532.745788351,,,8,8,"100.0"
"PER_DEPLOYER",,532.471772035,,,12,20,"166.7"
"PER_DEPLOYER",,532.0190167509999,,,333,312,"93.7"
"PER_DEPLOYER",,531.469686872,,,409,409,"100.0"
"PER_DEPLOYER",,531.2044591039999,,,262,262,"100.0"
"PER_DEPLOYER",,530.8604147820001,,,203,207,"102.0"
"PER_DEPLOYER",,530.6886030990001,,,267,264,"98.9"
"PER_DEPLOYER",,530.2966735509999,,,7,14,"200.0"
"PER_DEPLOYER",,529.5108215289999,,,31,24,"77.4"
"PER_DEPLOYER",,529.2522287170001,,,224,224,"100.0"
"PER_DEPLOYER",,528.133533529,,,529,696,"131.6"
"PER_DEPLOYER",,527.7253904710001,,,388,437,"112.6"
"PER_DEPLOYER",,527.44920818,,,458,458,"100.0"
"PER_DEPLOYER",,527.1331213540001,,,26,31,"119.2"
"PER_DEPLOYER",,527.1153349410001,,,227,226,"99.6"
"PER_DEPLOYER",,526.3135055449998,,,262,262,"100.0"
"PER_DEPLOYER",,525.0798735439998,,,266,266,"100.0"
"PER_DEPLOYER",,525.0679027839999,,,407,403,"99.0"
"PER_DEPLOYER",,523.4896072849999,,,20,17,"85.0"
"PER_DEPLOYER",,523.01857466,,,8,8,"100.0"
"PER_DEPLOYER",,522.991257481,,,264,264,"100.0"
"PER_DEPLOYER",,522.740813507,,,42,32,"76.2"
"PER_DEPLOYER",,521.749804731,,,82,70,"85.4"
"PER_DEPLOYER",,521.3733788669999,,,252,285,"113.1"
"PER_DEPLOYER",,521.0526926809997,,,623,687,"110.3"
"PER_DEPLOYER",,520.020090213,,,355,365,"102.8"
"PER_DEPLOYER",,519.5426410010002,,,286,286,"100.0"
"PER_DEPLOYER",,519.035710227,,,296,379,"128.0"
"PER_DEPLOYER",,518.977556882,,,232,195,"84.1"
"PER_DEPLOYER",,518.073976452,,,59,61,"103.4"
"PER_DEPLOYER",,516.9506178839999,,,304,303,"99.7"
"PER_DEPLOYER",,516.6074459520001,,,377,378,"100.3"
"PER_DEPLOYER",,515.2967320030001,,,29,28,"96.6"
"PER_DEPLOYER",,515.03477115,,,147,167,"113.6"
"PER_DEPLOYER",,514.406304958,,,10,11,"110.0"
"PER_DEPLOYER",,514.2763503049999,,,29,34,"117.2"
"PER_DEPLOYER",,514.043224974,,,204,213,"104.4"
"PER_DEPLOYER",,514.007648823,,,661,688,"104.1"
"PER_DEPLOYER",,513.725127797,,,266,263,"98.9"
"PER_DEPLOYER",,513.6603642519999,,,853,930,"109.0"
"PER_DEPLOYER",,513.1468660740001,,,373,392,"105.1"
"PER_DEPLOYER",,513.025353259,,,13,20,"153.8"
"PER_DEPLOYER",,512.89888804,,,44,40,"90.9"
"PER_DEPLOYER",,512.891871348,,,200,212,"106.0"
"PER_DEPLOYER",,512.179488024,,,9,9,"100.0"
"PER_DEPLOYER",,509.40837711300003,,,64,60,"93.8"
"PER_DEPLOYER",,509.138296545,,,18,17,"94.4"
"PER_DEPLOYER",,509.11503195099993,,,159,178,"111.9"
"PER_DEPLOYER",,509.08844941200016,,,284,288,"101.4"
"PER_DEPLOYER",,508.63103632499997,,,12,12,"100.0"
"PER_DEPLOYER",,508.563271351,,,342,345,"100.9"
"PER_DEPLOYER",,507.97733665199985,,,205,216,"105.4"
"PER_DEPLOYER",,507.62909499800014,,,346,353,"102.0"
"PER_DEPLOYER",,507.39669898200003,,,7,7,"100.0"
